2019-10-28 19:19:01,496 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2019-10-28 19:19:01,537 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2019-10-28 19:19:01,538 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2019-10-28 20:00:06,009 [-] [PassThroughMessageProcessor-19]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-28 20:08:35,544 [-] [PassThroughMessageProcessor-29]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-28 20:08:42,308 [-] [PassThroughMessageProcessor-31]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-28 20:10:47,095 [-] [PassThroughMessageProcessor-35]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-28 20:11:01,961 [-] [PassThroughMessageProcessor-38]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 06:08:26,712 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2019-10-29 06:08:26,728 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2019-10-29 06:08:26,728 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2019-10-29 06:37:28,503 [-] [PassThroughMessageProcessor-48]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 06:38:36,491 [-] [PassThroughMessageProcessor-51]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 06:39:48,586 [-] [PassThroughMessageProcessor-54]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 06:39:52,551 [-] [PassThroughMessageProcessor-57]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 07:30:04,345 [-] [PassThroughMessageProcessor-102]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 07:30:37,205 [-] [PassThroughMessageProcessor-105]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 07:34:13,692 [-] [PassThroughMessageProcessor-120]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 07:34:14,996 [-] [PassThroughMessageProcessor-123]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 07:34:15,639 [-] [PassThroughMessageProcessor-126]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /favicon.ico
2019-10-29 08:58:23,037 [-] [PassThroughMessageProcessor-130]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /
2019-10-29 09:35:50,488 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2019-10-29 09:35:50,533 [-] [Framework Event Dispatcher]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
