TID: [-1] [] [2019-11-25 03:37:57,490]  INFO {org.wso2.andes.wso2.internal.QpidBundleActivator} -  Setting BundleContext in PluginManager {org.wso2.andes.wso2.internal.QpidBundleActivator}
TID: [-1234] [] [2019-11-25 03:38:01,346]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Starting WSO2 Carbon... {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-11-25 03:38:01,348]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Operating System : Windows Server 2016 10.0, amd64 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-11-25 03:38:01,348]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Home        : C:\Java\jdk1.8.0_221\jre {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-11-25 03:38:01,349]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Version     : 1.8.0_221 {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-11-25 03:38:01,349]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java VM          : Java HotSpot(TM) 64-Bit Server VM 25.221-b11,Oracle Corporation {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-11-25 03:38:01,349]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Carbon Home      : C:\WSO2\wso2am-2.6.0\bin\.. {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-11-25 03:38:01,349]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  Java Temp Dir    : C:\WSO2\wso2am-2.6.0\bin\..\tmp {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1234] [] [2019-11-25 03:38:01,350]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} -  User             : api_admin, en-US, UTC {org.wso2.carbon.core.internal.CarbonCoreActivator}
TID: [-1] [] [2019-11-25 03:38:02,633]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} -  'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered. {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent}
TID: [-1] [] [2019-11-25 03:38:03,773]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} -  Successfully deployed the Kafka output event adaptor service {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS}
TID: [-1] [] [2019-11-25 03:38:04,271]  INFO {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS} -  Successfully deployed the execution manager tracker service {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS}
TID: [-1234] [] [2019-11-25 03:38:12,528]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} -  ConsentManagerComponent is activated. {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent}
TID: [-1234] [] [2019-11-25 03:38:13,169]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver} -  Started Binary SSL Transport on port : 9711 {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver}
TID: [-1234] [] [2019-11-25 03:38:13,169]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver} -  Started Binary TCP Transport on port : 9611 {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiver}
TID: [-1234] [] [2019-11-25 03:38:13,169]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} -  Successfully deployed Agent Server  {org.wso2.carbon.databridge.core.internal.DataBridgeDS}
TID: [-1234] [] [2019-11-25 03:38:13,606]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} -  Configured Registry in 66ms {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService}
TID: [-1234] [] [2019-11-25 03:38:13,715]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} -  Registry Mode    : READ-WRITE {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent}
TID: [-1234] [] [2019-11-25 03:38:13,762]  INFO {org.wso2.andes.configuration.AndesConfigurationManager} -  Main andes configuration located at : C:\WSO2\wso2am-2.6.0\bin\..\repository\conf\broker.xml {org.wso2.andes.configuration.AndesConfigurationManager}
TID: [-1234] [] [2019-11-25 03:38:14,153]  INFO {org.wso2.andes.configuration.AndesConfigurationManager} -  Main andes configuration located at : C:\WSO2\wso2am-2.6.0\bin\..\repository\conf\broker.xml {org.wso2.andes.configuration.AndesConfigurationManager}
TID: [-1234] [] [2019-11-25 03:38:45,613]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} -  Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics' {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder}
TID: [-1234] [] [2019-11-25 03:38:45,629]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} -  Started JMX reporter for Metrics {org.wso2.carbon.metrics.impl.reporter.AbstractReporter}
TID: [-1234] [] [2019-11-25 03:38:51,289]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} -  Default Embedded Solr Server Initialized {org.wso2.carbon.registry.indexing.solr.SolrClient}
TID: [-1234] [] [2019-11-25 03:38:52,039]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} -  Carbon UserStoreMgtDSComponent activated successfully. {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent}
TID: [-1234] [] [2019-11-25 03:38:54,367]  INFO {org.apache.axis2.deployment.ClusterBuilder} -  Clustering has been disabled {org.apache.axis2.deployment.ClusterBuilder}
TID: [-1234] [] [2019-11-25 03:38:54,996]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} -  User Store Configuration Deployer initiated. {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer}
TID: [-1234] [] [2019-11-25 03:38:54,997]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} -  User Store Configuration Deployer initiated. {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer}
TID: [-1234] [] [2019-11-25 03:38:56,710]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} -  WSS Sender started {org.wso2.carbon.websocket.transport.WebsocketTransportSender}
